Thomas Fantoni,GK,18
Zsombor Bakos,ST,16
Alberto Barazzetta,AM RLC,17
Ales Mateju,D/WB RL,23
Alessandro Semprini,D RC,21
Alessio Castellini,D C,16
Alfredo Donnarumma,ST,28
Andrea Butturini,M C,16
Andrea Cistana,D C,22
Andrea Ghezzi,AM C,18
Andrea Lussignoli,M RLC,17
Andrea Papetti,D C,16
Angelo Cazzago,D/WB R,19
Birkir Bjarnason,AM LC,31
Bruno Martella,D/WB L,26
Christian Bianchetti,ST,16
Cristian Airoldi,D C,16
Daniele Colosio,AM/F C,19
Daniele Del Barba,ST,16
Daniele Dessena,DM,32
Daniele Gastaldello,D C,36
Davide Reboldi,D/WB R,17
Diego Abbrandini,GK,17
Diego Danesi,D/WB L,16
Dimitri Bisoli,DM,25
Elia Pojani,D/WB/M R,18
Emanuele Ndoj,DM,22
Enrico Alfonso,GK,31
Erik Lora,ST,16
Ernesto Torregrossa,ST,27
Federico Trezza,ST,16
Filippo Cristini,M C,15
Florian Ayé,ST,22
Francesco Ruocco,AM LC* F C,18
Giacomo Piccaluga,M C,16
Giulio Magri,D LC,17
Jaromir Zmrhal,AM LC,25
Jesse Joronen,GK,26
Jhon Chancellor,D C,27
Lorenzo Andrenacci,GK,24
Lorenzo Marazzi,M C,18
Lorenzo Treccani,M RLC,19
Luca Bacchin,ST,16
Luca Bertoni,DM,16
Luca Forlani,ST,16
Luca Nolaschi,D C,18
Luca Rossetti,M C,17
Mario Balotelli,ST,28
Massimiliano Mangraviti,D C,21
Matteo Gandini,GK,15
Matteo Lombardi,M C,17
Matteo Rassegna,AM RL,17
Mattia Bui,D RC,17
Mattia Capoferri,D/WB L,18
Mattia Viviani,DM,18
Nicola Torchio,DM,19
Nikolas Spalek,AM C,22
Paolo Prandini,GK,16
Raul Torregrossa,ST,19
Riccardo Canciani,AM/F C,17
Rômulo,D/WB R* AM RC,32
Sandro Tonali,DM,19
Simon Skrabb,WB L* AM RLC* F C,24
Simone Raccagni,ST,16
Stefano Caruso,M C,16
Stefano Filigheddu,GK,17
Stefano Sabelli,D/WB R,26
Thomas Boafo,D/WB/M L,16
Tommaso Rozzini,D C,16
Umberto Rovelli,GK,16
Abel Kanyamuna,DM,17
Alberto Paloschi,ST,29
Alessandro Lombardi,AM C,19
Alessandro Mazzei,M C,16
Alessio Cragno,GK,25
Aly Nader,D C,19
Andrea Carboni,D LC,18
Andrea D'Aniello,GK,16
Andrea Leonardo Manca,M C,16
Artur Ionita,DM* AM C,28
Bruno Conti,AM C,17
Charalabos Lykogiannis,D/WB/M L,25
Christian Acella,M C,17
Christian Oliva,DM,23
Daniel Pischedda,M C,15
Daniele Ragatzu,AM LC* F C,27
Davide Piga,GK,16
Diego Loru,ST,16
Domenico Fucci,GK,17
Eugenio Fusco,GK,16
Fabio Pisacane,D RLC,33
Fabio Porru,D/WB R,19
Fabrizio Cacciatore,D/WB RL,32
Federico Bellu,D C,16
Federico Marigosu,AM LC,18
Federico Mattiello,D/WB/M RL,23
Federico Pedoni,ST,16
Filippo Stevanato,GK,15
Francesco Paolo Cusumano,D C,18
Francesco Zallu,M C,16
Gabriele Dore,M C,18
Gastón Pereiro,AM RLC,24
Giammarco Schirru,M C,16
Gianluca Contini,ST,18
Gioele Deiana,DM,16
Giovanni Simeone,ST,23
Giuseppe Ciocci,GK,17
Iurie Iovu,D C,16
Ivan Michelotti,D LC* M L,18
Jacopo Desogus,ST,16
João Pedro,AM/F C,27
Kener Valencia,AM RL,17
Leonardo Pavoletti,ST,30
Lorenzo Loru,M C,16
Luca Ceppitelli,D C,29
Luca Cigarini,DM,33
Luca Gagliano,ST,18
Luca Pellegrini,D/WB/M L,20
Luca Sabino,ST,16
Luigi Palomba,D C,16
Maciej Mas,ST,18
Marco Carabillò,D C,16
Marko Rog,AM C,23
Matteo Cannas,D LC,16
Matteo Cao,M C,16
Matteo Cossu,M C,18
Mattia Mura,D C,16
Michele Angiargia,D C,16
Michele Zinfollino,D C* DM,18
Mirko Atzeni,GK,17
Nahitan Nández,WB R* M RC,23
Niccolò Agostinelli,ST,18
Nicolò Cavuoti,ST,16
Omar Loi,ST,16
Paolo Faragò,D/WB R* M RC,26
Radja Nainggolan,AM C,31
Rafael,GK,37
Ragnar Klavan,D C,33
Riccardo Ladinetti,DM,18
Roberto Piroddi,ST,15
Robin Olsen,GK,29
Salvatore Boccia,D C,18
Sebastian Walukiewicz,D C* DM,19
Sergio Sulis,ST,16
Valter Birsa,AM RLC,32
Walid Retibi,ST,17
Aleksa Terzic,D/WB/M L,19
Alessandro Bertini,M LC,17
Alessandro Bianco,M C,17
Alessandro Lovisa,DM,17
Alfred Duncan,DM,26
Andrea Milani,AM/F C,17
Andrea Prrocka,DM,16
Andrei David,ST,16
Bartlomiej Dragowski,GK,21
Bobby Duncan,ST,18
Christian Dalle Mura,D C,17
Christian Koffi,AM RL,18
Christian Kouamé,AM RL* ST,21
Cyril Théréau,AM LC* F C,36
Dalbert,D/WB/M L,25
Daniele Ghilardi,D C,16
Daniele Magliocca,M C,16
Davide Dainelli,GK,15
Dimo Krastev,DM,16
Duan Vlahovic,ST,19
Edoardo Pierozzi,D/WB R,17
Eduard Dutu,D C,18
Elia Masini,ST,16
Emilio Marinaro,GK,17
Erick Pulgar,DM,25
Ettore Quirini,D C,15
Fabio Ponsi,D/WB/M RL,18
Federico Brancolini,GK,17
Federico Ceccherini,D C,27
Federico Chiesa,AM RL* ST,21
Federico Simonti,D/WB L,19
Filippo Di Stefano,ST,15
Filippo Frison,D C,16
Francesco Ancora,ST,16
Franck Ribéry,AM LC* F C,36
Gabriele Fogli,GK,16
Gaetano Castrovilli,AM C,22
Germán Pezzella,D C,28
Gian Marco Neri,M RLC,16
Giovanni Corradini,AM C,16
Giuseppe Imparato,ST,16
Guglielmo Mignani,ST,16
Igor,D LC,21
Isacco Barducci,M C,16
Jacopo Lofoco,D C,16
Jacopo Ricco,GK,16
Jonathan Spedalieri,D C,17
Kevin Agudelo,AM LC,20
Leonardo Mariani,D L,17
Leonardo Taddei,D C,16
Lorenzo Aliboni,M C,16
Lorenzo Chiti,M C,18
Lorenzo Pantani,AM R,17
Lorenzo Petronelli,ST,16
Lorenzo Venuti,D RLC,24
Luca Innocenti,M C,16
Lucio Gaeta,AM L* ST,17
Malik Djibril,DM,15
Marco Benassi,M C,24
Mark Gorgos,M C,19
Marko Hanuljak,AM C,19
Martín Cáceres,D RLC,32
Massimo Silvestri,DM,17
Matteo Christopher Carbone,M C,16
Matteo Giorgi,D C,16
Mattia Fiorini,DM,18
Mattia Santi,D C,16
Milan Badelj,DM,30
Niccolò Carcani,GK,17
Niccolò Chiorra,GK,18
Niccolò Dodaro,D C,16
Niccolò Pierozzi,WB/AM L,17
Nicky Medja,AM RLC,19
Nikola Milenkovic,D RC,21
Nino Kukovec,ST,18
Patrick Cutrone,ST,21
Pietro Terracciano,GK,29
Pol Lirola,D/WB/M R,21
Rachid Ghezzal,AM RLC,27
Riccardo Sottil,AM RL,20
Romaric Guedegbe,D/WB/M L,16
Samuele Sacchini,M C,17
Samuele Spalluto,ST,18
Tommaso Del Rosso,DM,16
Tommaso Luci,GK,16
Tommaso Marino,D RL,16
Tommaso Masi,D C,17
Toni Fruk,DM,18
Vincenzo Furina,ST,17
Vitor Hugo,M C,16
Vittorio Alberto Agostinelli,AM/F C,17
Abdoulaye Diakhaté,DM,17
Adam Bamba,ST,16
Adama Soumaoro,D C* DM,27
