Hugo Danjou,ST,18
Hwang Ui-Jo,AM RL* ST,26
Ismaël Sow,D/WB RL* M R,18
Issouf Sissokho,M C,17
Jamal Haruna,AM R,18
Jérémy Malamba,D C,17
Jimmy Briand,AM R* ST,33
Johab Pascal,M RC,19
Josh Maja,ST,20
Junah Zucculotto,M C,16
Junior Mwanga,D C,16
Karamba Keita,D/WB R,19
Laurent Koscielny,D C,33
Logan Delaurier Chaubet,M LC,17
Loic Bessilé,D LC,20
Loris Benito,D LC,27
Lucas Rocrou,ST,16
Marly Rampont,D RC,18
Maxime Poundjé,D/WB/M L,26
Mayverick Compper,D C,17
Mehdi Zerkane,AM RC,19
Mohamed Aggoun,D R* DM,16
Moudja Sie Ouattara,AM RC,17
Nicolas De Préville,AM RL* ST,28
Otávio,DM,25
Pablo,D C,28
Paul Baysse,D RC,31
Quentin Ranquine,AM C,17
Rémi Oudin,AM RLC,22
Rubén Pardo,M C,26
Rudy Orea,DM,17
Samuel Kalu,AM RL* ST,21
Sékou Mara,ST,16
Thibaut Klidje,ST,17
Tidiane Malbec,GK,17
Tijany Atallah,D C,16
Tom Bonhouré,D C,17
Tom Lacoux,DM,17
Toma Basic,DM* AM C,22
Vukasin Jovanovic,D C,23
Walid Gharnout,ST,17
Yacine Adli,AM RC,18
Yanis Hamoudi,AM LC,19
Yassine Boujouama,M C,17
Youssef Aït Bennasser,DM,22
Youssouf Sabaly,D/WB R,26
Alexandre Mendy,ST,25
Antoine Catherine,D C* DM,18
Baptiste Gautier,M C,20
Bengaly Kaba Soares,D L,19
Brendan Chardonnet,D C,24
Brieg Le Bars,D C,17
Chris Basakila Bazungula,ST,16
Cristian Battocchio,AM C,27
David Kiki,D L,25
Dénys Bain,D C* DM,25
Donovan Léon,GK,26
Enzo Barreau,M C,17
Ferris N'Goma,DM* AM RLC,26
Franck Le Roux,D C,16
Gaëtan Belaud,D/WB R,32
Gaëtan Charbonnier,AM/F C,30
Gautier Larsonneur,GK,22
Haris Belkebla,DM,25
Hianga'a Mbock,DM,19
Hugo Magnetti,AM C,21
Ibrahima Diallo,DM,20
Idrissa Dioh,M C,20
Irvin Cardona,AM RL* ST,21
Isaia Hubert,GK,16
Jean-Charles Castelletto,D RC,24
Jean-Kevin Duverne,D RC,21
Josué Escartin,D C,16
Julien Faussurier,D/WB/M R,32
Kenzo Berger,ST,18
Kévin Le Labourier,D R,19
Kevin Mayi,AM R* ST,26
Killian Benvindo,AM R,18
Killian Le Ber,D C,19
Kristen Boulouard,D R,19
Lucas Gélébart,AM/F C,16
Ludovic Baal,D L,33
Marvin Toupin,DM* M LC,17
Mathias Autret,AM RLC,28
Matthias Lavenant,M C,18
Olivier Moutoussamy,GK,17
Paul Lasne,DM* M RC,30
Rafiki Saïd,ST,19
Rémi Maugain,M C,17
Romain Perraud,D/WB L,21
Romain Thunet,D C,18
Samuel Genty,ST,17
Samuel Grandsir,AM RLC,22
Sébastien Cibois,GK,21
Sergio Fernandes,ST,18
Tanguy Lagadic,M C,18
Thomas Loisel,M C,17
Titouan Guéguen,GK,18
Tom Flamanc,WB L,16
Yahya Kujabi,M C,19
Yoann Court,AM RLC,29
Yoann Mavoungou,AM RL,18
Ahmad Ngouyamsa,D R,18
Alexandre Tegar,D C,18
Alexis Mendes,D C,16
