Quentin Beunardeau,GK,25
Raphael Aflalo,GK,22
Reko Silva,DM* AM C,20
Ricardo Mangas,D/WB L,21
Rúben Macedo,AM RL,23
Rúben Oliveira,DM,24
Rúben Pina,AM RL,19
Rui Neves,GK,21
Welinton Júnior,AM RLC* F C,26
Zidane Banjaqui,AM LC,20
Álex Centelles,D/WB L,19
Anderson,ST,21
André Mendes,D/WB R,17
André Ricardo,AM RC,18
André Silva,AM C,19
Armando Lopes,D L,20
Brian Cipenga,AM RL,21
Chicão,D C* DM,18
Cláudio Silva,D C,19
Clayton,D C,19
Dário Caetano,GK,17
Defendi,GK,36
Diogo Gonçalves,AM RLC,22
Eecion Manuel,AM RL,18
Fábio Martins,AM RL,25
Fernando Silva,D C,17
Fodé Konaté,D R,18
Francis Boateng,D L,19
Gabi,GK,22
Gabriel Xavier,D C,18
Guga,DM,21
Gustavo Assunção,DM,19
Hassan Alaa Aldeen,AM RLC,19
Ibrahim Cissé,D C,20
Ivan Lozic,M C,18
Ivo Pinto,D/WB R,29
João Caiado,M C,20
João Castro,AM C,18
João Neto,AM C,16
João Sidónio,D C,20
João Silva,GK,19
João Tiago,ST,20
Jorge Ferreira,AM/F C,17
Jorge Pereira,DM,21
Lawrence Ofori,AM C,21
Leandro Campos,ST,19
Lionn,D R,30
Luan,AM RL,18
Lúcio Júnior,GK,18
Luka Oliveira,AM RLC,21
Madu,AM R* ST,16
Malam Camará,DM,19
Matheus Clemente,M C,21
Nehuén Pérez,D C,19
Nicolás Schiappacasse,AM RLC* F C,20
Patrick William,D C,22
Paulo Bessa,AM/F C,19
Paulo Victor,M C,18
Pedro Goncalves,AM C,21
Pedro Nuno,D C,19
Racine Coly,D/WB L,23
Raí Pinto,D/WB R,18
Ricardo Sousa,DM,18
Riccieli,D C,20
Roderick Miranda,D C,28
Rodrigo Coutinho,D C* DM,19
Rodrigo Domingues,D L,18
Rogério Varela,AM RL,18
Rúben Costa,D C* DM,18
Rubén Del Campo,ST,19
Rúben Lameiras,AM RC,24
Rui Ferreira,D/WB L,17
Ryan Teague,DM,17
Tiago Dias,AM RL,21
Tiago Gonçalves,DM,18
Tomás Fernandes,AM RL,18
Toni Martínez,ST,22
Uros Racic,M C,21
Vaná,GK,28
Walterson,AM RL,24
