name,age,season,mv,potential,transfer_no,apearance,goal,assist,yellow,yellow2,red
alfred-finnbogason,27,16,4050000.0,80.86,8,14,3,1,1,0,1
alfred-finnbogason,26,15,3600000.0,80.86,7,27,9,4,4,0,0
alfred-finnbogason,25,14,8100000.0,80.86,6,31,4,1,4,0,0
alfred-finnbogason,23,12,540000.0,80.86,5,58,43,14,7,0,0
alfred-finnbogason,22,11,270000.0,80.86,4,10,3,1,0,0,0
andre-hahn,28,18,1350000.0,80.86,8,32,5,5,8,0,0
andre-hahn,27,17,4050000.0,80.86,7,24,3,0,1,0,0
andre-hahn,24,14,4500000.0,80.86,6,32,6,6,4,0,0
andre-hahn,23,13,270000.0,80.86,5,35,12,11,10,0,0
andre-hahn,21,11,157500.0,80.86,4,33,4,4,5,0,0
andre-hahn,20,10,68000.0,80.86,3,32,10,3,7,2,0
andre-hahn,19,9,68000.0,80.86,2,24,1,1,7,0,0
andre-hahn,18,8,68000.0,80.86,1,21,3,0,0,0,1
carlos-gruezo,24,19,1800000.0,80.86,6,21,1,1,5,0,0
carlos-gruezo,21,16,1800000.0,80.86,5,38,1,3,11,0,0
carlos-gruezo,19,14,900000.0,80.86,4,8,1,0,1,0,0
carlos-gruezo,17,12,900000.0,80.86,3,40,1,1,13,1,0
daniel-baier,26,10,675000.0,80.86,9,19,1,1,2,0,1
daniel-baier,25,9,900000.0,80.86,8,15,0,3,1,1,0
daniel-baier,24,8,1170000.0,80.86,7,25,2,3,2,0,0
daniel-baier,23,7,675000.0,80.86,6,16,0,0,2,0,0
daniel-baier,19,3,675000.0,80.86,5,22,3,0,3,0,0
eduard-lowen,23,20,5625000.0,80.86,8,2,0,0,0,0,0
eduard-lowen,22,19,6300000.0,80.86,7,24,2,1,0,0,0
eduard-lowen,20,17,315000.0,80.86,6,35,5,5,6,0,0
eduard-lowen,19,16,315000.0,80.86,5,25,0,2,6,0,1
eduard-lowen,18,15,315000.0,80.86,4,24,3,4,6,0,0
eduard-lowen,17,14,315000.0,80.86,3,12,0,0,1,0,0
eduard-lowen,15,12,315000.0,80.86,2,14,0,0,1,0,0
felix-gotze,20,18,180000.0,80.86,5,9,1,0,2,0,0
felix-gotze,19,17,180000.0,80.86,4,24,4,2,5,0,0
felix-gotze,17,15,180000.0,80.86,3,17,0,1,4,0,0
felix-gotze,16,14,180000.0,80.86,2,21,3,0,1,0,0
felix-uduokhai,23,20,6120000.0,80.86,7,7,1,0,0,0,0
felix-uduokhai,22,19,3150000.0,80.86,6,27,0,0,3,0,0
felix-uduokhai,20,17,720000.0,80.86,5,24,3,0,2,1,0
felix-uduokhai,19,16,720000.0,80.86,4,25,1,0,4,0,0
felix-uduokhai,17,14,720000.0,80.86,3,23,0,0,2,0,0
felix-uduokhai,16,13,720000.0,80.86,2,16,4,0,3,0,0
florian-niederlechner,29,19,3150000.0,80.86,12,34,13,8,1,0,0
florian-niederlechner,27,17,4950000.0,80.86,11,14,2,2,1,0,0
florian-niederlechner,26,16,1800000.0,80.86,10,36,12,3,4,0,0
florian-niederlechner,25,15,1800000.0,80.86,9,28,8,2,6,0,0
florian-niederlechner,23,13,360000.0,80.86,8,32,9,4,4,0,0
florian-niederlechner,21,11,45000.0,80.86,7,38,9,9,4,0,0
florian-niederlechner,20,10,45000.0,80.86,6,34,19,0,8,0,0
fredrik-jensen,21,18,1800000.0,80.86,3,9,0,1,0,0,0
fredrik-jensen,19,16,90000.0,80.86,2,30,5,5,0,0,0
fredrik-jensen,17,14,1800000.0,80.86,1,11,0,0,0,0,1
georg-teigl,29,20,495000.0,80.86,10,5,0,0,1,0,0
georg-teigl,27,18,540000.0,80.86,9,7,0,1,0,0,0
georg-teigl,25,16,675000.0,80.86,8,19,0,1,1,0,0
georg-teigl,23,14,720000.0,80.86,7,32,3,1,6,0,0
georg-teigl,20,11,270000.0,80.86,6,31,3,5,1,0,0
georg-teigl,18,9,68000.0,80.86,5,13,0,3,1,0,0
federico-valverde,20,18,5400000.0,80.86,4,150,0,0,36,0,0
federico-valverde,19,17,2700000.0,80.86,3,150,0,0,0,0,0
federico-valverde,18,16,405000.0,80.86,2,294,18,24,48,0,0
jan-moravek,23,12,2103333.333,80.86,6,23,1,3,4,0,0
jan-moravek,22,11,3150000.0,80.86,5,17,0,1,1,0,0
jan-moravek,21,10,1800000.0,80.86,4,33,5,2,6,0,0
jan-moravek,20,9,450000.0,80.86,3,7,2,0,1,0,0
jeffrey-gouweleeuw,25,16,2700000.0,80.86,6,19,2,1,4,0,0
jeffrey-gouweleeuw,22,13,2250000.0,80.86,5,55,3,0,8,0,0
jeffrey-gouweleeuw,20,11,270000.0,80.86,4,35,4,5,1,0,0
jeffrey-gouweleeuw,19,10,270000.0,80.86,3,6,0,0,1,0,0
julian-schieber,29,18,900000.0,80.86,10,9,1,0,1,0,0
julian-schieber,25,14,2250000.0,80.86,9,18,8,2,1,0,0
julian-schieber,23,12,7200000.0,80.86,8,37,5,2,3,1,0
julian-schieber,22,11,5850000.0,80.86,7,20,3,0,1,0,0
julian-schieber,21,10,1800000.0,80.86,6,33,10,9,5,0,0
julian-schieber,20,9,90000.0,80.86,5,34,8,2,2,0,0
julian-schieber,19,8,45000.0,80.86,4,31,9,2,1,0,0
julian-schieber,17,6,45000.0,80.86,3,12,4,0,0,0,0
kilian-jakob,19,17,113000.0,80.86,5,27,2,2,4,1,1
kilian-jakob,18,16,113000.0,80.86,4,32,7,3,5,1,0
kilian-jakob,17,15,113000.0,80.86,3,25,2,5,5,0,0
kilian-jakob,16,14,113000.0,80.86,2,24,1,0,1,0,0
marco-richter,19,17,68000.0,80.86,6,26,10,1,4,0,0
marco-richter,18,16,68000.0,80.86,5,27,24,4,3,0,0
marco-richter,16,14,68000.0,80.86,4,26,8,0,6,0,0
marco-richter,15,13,68000.0,80.86,3,24,10,1,4,0,0
marco-richter,14,12,68000.0,80.86,2,1,0,0,0,0,0
marek-suchy,31,19,2030000.0,80.86,5,8,0,0,2,0,0
marek-suchy,26,14,3270000.0,80.86,4,41,2,0,11,0,0
marek-suchy,22,10,2250000.0,80.86,3,46,3,0,17,0,0
marek-suchy,17,5,2250000.0,80.86,2,31,0,0,6,0,1
marek-suchy,16,4,2250000.0,80.86,1,3,0,0,1,0,0
noah-sarenren-bazee,23,19,1130000.0,80.86,5,10,1,0,1,0,0
noah-sarenren-bazee,20,16,68000.0,80.86,4,15,1,7,2,0,0
noah-sarenren-bazee,19,15,68000.0,80.86,3,20,6,8,2,0,0
noah-sarenren-bazee,17,13,68000.0,80.86,2,23,4,3,0,0,0
philipp-max,27,20,13500000.0,80.86,8,10,1,6,1,0,0
philipp-max,22,15,810000.0,80.86,7,32,0,0,3,0,0
philipp-max,21,14,135000.0,80.86,6,26,0,1,4,0,0
philipp-max,19,12,135000.0,80.86,5,32,2,8,1,0,0
philipp-max,17,10,135000.0,80.86,4,21,4,2,0,0,0
rani-khedira,23,17,675000.0,80.86,6,31,1,1,9,0,0
rani-khedira,20,14,675000.0,80.86,5,25,0,2,9,0,0
rani-khedira,18,12,270000.0,80.86,4,32,0,0,5,0,0
rani-khedira,17,11,270000.0,80.86,3,28,1,1,3,0,0
rani-khedira,15,9,270000.0,80.86,2,21,2,0,3,0,0
raphael-framberger,20,15,90000.0,80.86,4,15,0,1,4,0,0
raphael-framberger,17,12,90000.0,80.86,3,16,0,2,3,2,0
raphael-framberger,15,10,90000.0,80.86,2,21,0,1,6,0,0
reece-oxford,20,19,4500000.0,80.86,7,12,0,0,0,0,0
reece-oxford,19,18,4500000.0,80.86,6,24,3,2,5,0,1
reece-oxford,19,17,4500000.0,80.86,5,11,0,0,1,0,0
reece-oxford,18,17,3900000.0,80.86,4,11,0,0,1,0,0
reece-oxford,16,15,3600000.0,80.86,3,23,1,1,1,0,0
reece-oxford,15,14,3600000.0,80.86,2,13,1,0,1,0,0
ruben-vargas,21,19,3600000.0,80.86,4,33,6,2,8,0,0
ruben-vargas,19,17,3600000.0,80.86,3,29,7,5,3,0,0
ruben-vargas,18,16,3600000.0,80.86,2,10,9,0,1,0,0
ruben-vargas,17,15,3600000.0,80.86,1,16,3,0,3,0,0
sergio-cordova,23,20,1440000.0,80.86,4,6,0,1,0,0,0
sergio-cordova,20,17,281500.0,80.86,3,32,2,3,3,0,0
simon-asta,19,20,225000.0,80.86,3,3,0,0,0,0,0
simon-asta,17,18,225000.0,80.86,2,25,1,0,5,0,0
simon-asta,15,16,225000.0,80.86,1,6,0,0,0,0,0
stephan-lichtsteiner,35,19,1350000.0,80.86,7,20,0,1,3,1,0
stephan-lichtsteiner,34,18,1350000.0,80.86,6,23,1,1,5,0,0
stephan-lichtsteiner,27,11,8100000.0,80.86,5,38,2,3,6,0,0
stephan-lichtsteiner,24,8,4500000.0,80.86,4,39,1,4,7,0,0
stephan-lichtsteiner,21,5,1260000.0,80.86,3,43,2,2,6,0,0
stephan-lichtsteiner,17,1,1260000.0,80.86,2,1,0,0,0,0,0
tin-jedvaj,24,20,6300000.0,80.86,7,1,0,0,0,0,0
tin-jedvaj,23,19,6750000.0,80.86,6,31,2,0,6,0,0
tin-jedvaj,19,15,5850000.0,80.86,5,18,0,1,6,2,0
tin-jedvaj,18,14,3600000.0,80.86,4,29,2,2,8,0,1
tin-jedvaj,17,13,675000.0,80.86,3,9,1,0,3,0,0
tin-jedvaj,16,12,675000.0,80.86,2,13,1,1,4,0,0
abdul-fesenmeyer,18,20,360000.0,80.86,3,9,0,0,1,0,0
abdul-fesenmeyer,16,18,360000.0,80.86,2,16,2,0,2,0,0
abdul-fesenmeyer,14,16,360000.0,80.86,1,13,2,0,0,0,0
achunike-ekene,15,17,360000.0,80.86,1,21,0,0,2,0,0
adrian-stanilewicz,20,20,180000.0,80.86,4,1,0,0,0,0,0
adrian-stanilewicz,19,19,45000.0,80.86,3,7,0,0,2,0,0
adrian-stanilewicz,17,17,45000.0,80.86,2,23,1,0,0,0,0
adrian-stanilewicz,15,15,45000.0,80.86,1,28,0,0,5,0,0
aleksandar-dragovic,27,18,9000000.0,80.86,8,28,2,1,8,0,0
aleksandar-dragovic,26,17,10800000.0,80.86,7,18,0,0,2,0,0
aleksandar-dragovic,25,16,13500000.0,80.86,6,28,0,2,4,0,0
aleksandar-dragovic,22,13,6300000.0,80.86,5,36,0,0,12,0,0
aleksandar-dragovic,20,11,2700000.0,80.86,4,39,1,1,11,0,0
aleksandar-dragovic,17,8,45000.0,80.86,3,28,2,1,4,0,0
ayman-azhil,19,20,45000.0,80.86,3,4,0,0,1,0,0
ayman-azhil,17,18,45000.0,80.86,2,25,2,1,6,0,0
ayman-azhil,15,16,45000.0,80.86,1,14,2,0,0,0,0
ayoub-asrihi,18,19,45000.0,80.86,5,12,0,1,0,0,0
ayoub-asrihi,17,18,45000.0,80.86,4,3,0,0,0,0,0
ayoub-asrihi,16,17,45000.0,80.86,3,21,3,4,0,0,0
charles-aranguiz,26,15,8550000.0,80.86,8,18,2,3,3,0,0
charles-aranguiz,25,14,2340000.0,80.86,7,25,6,3,7,0,0
charles-aranguiz,22,11,630000.0,80.86,6,43,4,14,5,0,0
charles-aranguiz,21,10,810000.0,80.86,5,58,4,15,14,1,1
charles-aranguiz,20,9,810000.0,80.86,4,9,2,1,0,0,0
charles-aranguiz,19,7,810000.0,80.86,3,2,0,0,0,0,0
charles-aranguiz,18,7,810000.0,80.86,2,2,0,0,0,0,0
christopher-scott,22,16,810000.0,80.86,4,20,0,1,3,0,1
christopher-scott,19,13,810000.0,80.86,3,5,0,0,1,0,0
christopher-scott,18,12,810000.0,80.86,2,2,0,0,0,0,0
daley-sinkgraven,24,19,2700000.0,80.86,6,21,0,1,3,0,0
daley-sinkgraven,20,15,1350000.0,80.86,5,29,1,3,2,0,0
daley-sinkgraven,18,13,1350000.0,80.86,4,30,3,6,1,0,0
daley-sinkgraven,17,12,1350000.0,80.86,3,23,0,1,0,0,0
edmond-tapsoba,21,20,4050000.0,80.86,4,8,0,0,0,0,0
edmond-tapsoba,20,19,315000.0,80.86,3,54,9,1,12,0,1
edmond-tapsoba,19,18,315000.0,80.86,2,30,7,1,5,0,0
edmond-tapsoba,18,17,315000.0,80.86,1,0,0,0,0,0,0
exequiel-palacios,22,20,22500000.0,80.86,3,5,0,1,0,0,0
exequiel-palacios,19,17,270000.0,80.86,2,10,2,2,1,0,0
exequiel-palacios,17,15,22500000.0,80.86,1,1,0,0,0,0,0
fabian-ruth,19,20,22500000.0,80.86,4,5,0,0,1,0,0
fabian-ruth,17,18,22500000.0,80.86,3,15,0,0,2,0,0
fabian-ruth,16,17,22500000.0,80.86,2,25,0,0,2,0,0
florian-wirtz,17,20,22500000.0,80.86,3,8,2,3,0,0,0
florian-wirtz,15,18,22500000.0,80.86,2,14,4,2,1,0,0
jonathan-tah,19,15,4500000.0,80.86,6,45,0,2,4,0,0
jonathan-tah,18,14,5850000.0,80.86,5,25,0,1,5,1,0
jonathan-tah,17,13,5850000.0,80.86,4,31,0,2,2,1,0
jonathan-tah,16,12,5850000.0,80.86,3,25,0,0,6,0,0
jonathan-tah,15,11,5850000.0,80.86,2,28,4,0,1,0,0
julian-baumgartlinger,28,16,5400000.0,80.86,7,30,0,2,2,0,0
julian-baumgartlinger,23,11,2030000.0,80.86,6,30,0,5,3,0,0
julian-baumgartlinger,21,9,315000.0,80.86,5,42,0,5,8,1,0
julian-baumgartlinger,19,7,315000.0,80.86,4,23,0,0,7,1,0
julian-baumgartlinger,17,5,315000.0,80.86,3,20,3,0,3,0,1
kai-havertz,21,20,72900000.0,80.86,5,10,4,3,1,0,0
kai-havertz,17,16,90000.0,80.86,4,40,6,7,4,0,0
kai-havertz,15,14,90000.0,80.86,3,23,7,2,4,0,0
karim-bellarabi,24,14,2250000.0,80.86,10,46,13,14,7,0,0
karim-bellarabi,23,13,2250000.0,80.86,9,29,3,5,7,0,0
karim-bellarabi,21,11,900000.0,80.86,8,14,2,0,0,0,0
karim-bellarabi,20,10,45000.0,80.86,7,36,8,17,4,0,0
karim-bellarabi,19,9,45000.0,80.86,6,23,10,1,0,0,0
karim-bellarabi,18,8,45000.0,80.86,5,24,7,0,0,0,0
karim-bellarabi,17,7,45000.0,80.86,4,10,2,0,0,0,0
kerem-demirbay,26,19,28800000.0,80.86,10,40,2,11,5,1,0
kerem-demirbay,23,16,1170000.0,80.86,9,29,6,10,5,0,0
kerem-demirbay,22,15,1035000.0,80.86,8,26,11,4,7,1,0
kerem-demirbay,21,14,315000.0,80.86,7,24,2,3,6,0,0
kerem-demirbay,20,13,315000.0,80.86,6,8,3,4,2,0,0
kerem-demirbay,19,12,315000.0,80.86,5,28,2,1,12,0,0
kerem-demirbay,18,11,315000.0,80.86,4,20,7,4,2,0,1
kerem-demirbay,17,10,315000.0,80.86,3,25,9,2,5,1,0
kevin-bukusu,19,20,315000.0,80.86,3,4,0,0,1,0,0
kevin-bukusu,17,18,315000.0,80.86,2,12,1,0,1,0,0
kevin-bukusu,15,16,315000.0,80.86,1,12,1,0,2,0,0
kevin-volland,28,20,25200000.0,80.86,9,7,2,2,1,0,0
kevin-volland,24,16,15300000.0,80.86,8,31,9,2,4,0,1
kevin-volland,20,12,3150000.0,80.86,7,37,6,12,4,0,0
kevin-volland,19,11,315000.0,80.86,6,35,14,12,8,0,0
kevin-volland,18,10,315000.0,80.86,5,34,12,5,6,0,0
kevin-volland,17,9,315000.0,80.86,4,25,7,0,2,0,1
kevin-volland,15,7,315000.0,80.86,3,3,1,0,0,0,0
lars-bender,20,9,1530000.0,80.86,5,26,1,0,0,0,0
lars-bender,17,6,45000.0,80.86,4,23,1,0,3,0,0
leon-bailey,20,17,11250000.0,80.86,4,102,36,18,9,0,0
leon-bailey,18,15,11250000.0,80.86,3,126,21,33,15,0,0
lucas-alario,25,17,10800000.0,80.86,3,35,13,7,5,0,1
lucas-alario,23,15,45000.0,80.86,2,23,10,5,2,0,0
lucas-alario,19,11,10800000.0,80.86,1,9,0,1,0,0,0
marc-lamti,19,20,180000.0,80.86,3,4,0,0,1,0,0
marc-lamti,17,18,180000.0,80.86,2,24,2,0,5,0,0
marc-lamti,15,16,180000.0,80.86,1,7,0,0,0,0,0
marvin-dose,19,16,113000.0,80.86,1,1,0,0,0,0,0
mitchell-weiser,24,18,10800000.0,80.86,7,41,2,4,5,0,0
mitchell-weiser,21,15,1800000.0,80.86,6,33,2,8,7,0,0
mitchell-weiser,19,13,1125000.0,80.86,5,23,3,7,1,0,0
mitchell-weiser,18,12,900000.0,80.86,4,25,2,3,3,0,0
mitchell-weiser,17,11,900000.0,80.86,3,20,6,4,1,2,1
mitchell-weiser,15,9,900000.0,80.86,2,21,3,2,2,0,0
moussa-diaby,20,19,10800000.0,80.86,5,39,8,8,5,0,0
moussa-diaby,19,18,450000.0,80.86,4,34,4,7,1,0,0
moussa-diaby,19,17,450000.0,80.86,3,10,2,5,1,0,0
moussa-diaby,17,16,450000.0,80.86,2,8,3,1,0,0,0
nadiem-amiri,23,19,15300000.0,80.86,6,42,1,6,4,0,1
nadiem-amiri,18,14,15300000.0,80.86,5,22,2,0,3,0,0
nadiem-amiri,17,13,15300000.0,80.86,4,23,5,3,6,0,1
nadiem-amiri,16,12,15300000.0,80.86,3,26,2,1,3,0,0
paulinho,31,19,34200000.0,80.86,26,437,190,74,53,0,6
paulinho,22,19,585000.0,77.85,15,437,190,74,53,0,6
paulinho,30,18,36000000.0,80.86,25,284,96,67,28,0,0
paulinho,25,18,630000.0,77.85,21,284,96,67,28,0,0
paulinho,21,18,585000.0,77.85,12,284,96,67,28,0,0
paulinho,18,18,22500000.0,77.85,5,284,96,67,28,0,0
paulinho,29,17,13500000.0,80.86,24,590,170,64,49,0,0
paulinho,24,17,630000.0,77.85,19,590,170,64,49,0,0
paulinho,20,17,270000.0,77.85,9,590,170,64,49,0,0
paulinho,17,17,270000.0,77.85,3,590,170,64,49,0,0
paulinho,27,15,8100000.0,80.86,23,225,44,25,29,2,0
paulinho,22,15,240000.0,77.85,17,225,44,25,29,2,0
paulinho,23,15,225000.0,77.85,1,225,44,25,29,2,0
paulinho,25,13,10800000.0,80.86,22,296,61,17,44,0,5
paulinho,20,13,285000.0,77.85,10,296,61,17,44,0,5
paulinho,24,12,6750000.0,80.86,20,271,72,50,63,0,0
paulinho,19,12,270000.0,77.85,7,271,72,50,63,0,0
paulinho,22,10,360000.0,80.86,18,140,20,5,20,0,0
paulinho,22,14,270000.0,77.85,16,219,15,25,22,0,0
paulinho,21,14,270000.0,77.85,13,219,15,25,22,0,0
paulinho,21,9,158000.0,80.86,14,140,30,0,30,5,0
paulinho,19,7,270000.0,80.86,8,190,15,0,20,0,0
paulinho,18,6,270000.0,80.86,6,85,10,0,0,0,0
paulinho,18,11,270000.0,77.85,4,182,40,20,45,0,0
paulinho,23,16,225000.0,77.85,2,407,102,35,43,0,0
phil-kemper,17,19,270000.0,80.86,2,27,4,3,7,1,0
phil-kemper,15,17,270000.0,80.86,1,6,0,0,0,0,0
sven-bender,28,17,6300000.0,80.86,6,34,2,0,0,0,0
sven-bender,20,9,1080000.0,80.86,5,22,0,1,3,0,0
sven-bender,17,6,45000.0,80.86,4,28,2,1,4,0,0
wendell,21,14,2700000.0,80.86,3,86,2,6,22,2,0
wendell,20,13,2700000.0,80.86,2,18,0,0,2,0,0
wendell,19,12,2700000.0,80.86,1,30,0,0,14,0,0
achraf-hakimi,21,20,48600000.0,80.86,5,7,1,2,1,0,0
achraf-hakimi,19,18,4500000.0,80.86,4,28,3,7,5,0,0
achraf-hakimi,18,17,270000.0,80.86,3,17,2,1,0,0,0
achraf-hakimi,17,16,270000.0,80.86,2,34,2,10,9,1,1
achraf-hakimi,16,15,270000.0,80.86,1,10,2,0,2,0,0
axel-witsel,29,18,18000000.0,80.86,7,61,8,2,5,0,0
axel-witsel,28,17,18000000.0,80.86,6,29,4,3,7,0,0
axel-witsel,23,12,18000000.0,80.86,5,34,5,1,8,0,0
axel-witsel,22,11,9000000.0,80.86,4,49,5,6,6,0,0
axel-witsel,17,6,9000000.0,80.86,3,22,3,2,1,0,0
emre-can,26,20,23400000.0,80.86,9,6,1,0,1,0,0
emre-can,24,18,27000000.0,80.86,8,37,4,1,9,0,0
emre-can,20,14,6750000.0,80.86,7,40,1,1,6,1,0
emre-can,19,13,1350000.0,80.86,6,39,4,5,13,1,0
emre-can,18,12,540000.0,80.86,5,21,3,2,6,0,0
emre-can,17,11,540000.0,80.86,4,17,1,0,3,0,0
emre-can,16,10,540000.0,80.86,3,21,2,0,7,0,0
emre-can,15,9,540000.0,80.86,2,22,2,0,5,0,0
erling-haaland,20,20,40500000.0,80.86,4,46,42,15,5,0,0
erling-haaland,19,19,4500000.0,80.86,3,200,220,50,20,0,0
erling-haaland,17,17,180000.0,80.86,2,105,20,5,20,0,0
giovanni-reyna,17,20,4500000.0,80.86,2,10,2,5,2,0,0
giovanni-reyna,16,19,4500000.0,80.86,1,34,9,10,3,0,0
jadon-sancho,17,17,4500000.0,80.86,3,42,10,14,2,0,0
jadon-sancho,16,16,4500000.0,80.86,2,66,40,14,2,0,2
jadon-sancho,15,15,4500000.0,80.86,1,4,0,2,0,0,0
julian-brandt,23,19,45000000.0,80.86,5,42,7,13,1,0,0
julian-brandt,18,14,45000000.0,80.86,4,35,4,5,0,0,0
julian-brandt,16,12,45000000.0,80.86,3,28,15,14,0,0,0
julian-brandt,15,11,45000000.0,80.86,2,25,14,0,0,0,0
leonardo-balerdi,21,20,6480000.0,80.86,4,4,1,0,1,0,0
leonardo-balerdi,20,19,2250000.0,80.86,3,16,0,0,3,0,0
leonardo-balerdi,19,18,2250000.0,80.86,2,9,1,0,2,0,0
lukasz-piszczek,25,10,2250000.0,80.86,4,41,0,8,2,0,0
lukasz-piszczek,22,7,1170000.0,80.86,3,26,1,4,1,0,0
lukasz-piszczek,19,4,1170000.0,80.86,2,11,2,1,1,0,0
mahmoud-dahoud,21,17,13500000.0,80.86,4,34,0,6,5,0,0
mahmoud-dahoud,17,13,13500000.0,80.86,3,11,1,3,3,0,0
mahmoud-dahoud,15,11,13500000.0,80.86,2,21,0,1,1,0,0
manuel-akanji,23,18,4500000.0,80.86,4,31,1,0,3,0,0
manuel-akanji,20,15,225000.0,80.86,3,15,0,0,3,0,0
manuel-akanji,19,14,225000.0,80.86,2,35,1,2,4,0,0
manuel-akanji,18,13,225000.0,80.86,1,20,0,0,1,1,0
immanuel-pherai,19,20,720000.0,80.86,5,6,0,0,0,0,0
immanuel-pherai,17,18,720000.0,80.86,4,35,8,12,4,0,0
immanuel-pherai,16,17,720000.0,80.86,3,26,11,21,2,1,0
immanuel-pherai,15,16,720000.0,80.86,2,14,2,4,0,0,0
marcel-schmelzer,20,8,45000.0,80.86,5,26,0,3,4,0,0
marcel-schmelzer,19,7,45000.0,80.86,4,26,0,0,2,0,0
marcel-schmelzer,17,5,45000.0,80.86,3,22,1,0,4,0,0
marco-reus,23,12,18000000.0,80.86,7,49,19,16,5,0,0
marco-reus,20,9,900000.0,80.86,6,35,8,4,0,0,0
marco-reus,19,8,45000.0,80.86,5,28,4,3,4,0,0
marco-reus,17,6,45000.0,80.86,4,26,12,0,4,0,0
mario-gotze,28,20,9450000.0,80.86,8,4,2,0,0,0,0
mario-gotze,24,16,31500000.0,80.86,7,16,2,2,2,0,0
mario-gotze,21,13,40500000.0,80.86,6,45,15,13,0,0,0
mario-gotze,18,10,900000.0,80.86,5,41,8,16,1,0,0
mario-gotze,16,8,900000.0,80.86,4,18,11,7,4,0,0
mario-gotze,15,7,900000.0,80.86,3,22,9,2,0,0,0
mateu-morey,19,19,270000.0,80.86,3,16,0,1,2,0,0
mateu-morey,17,17,270000.0,80.86,2,5,0,3,1,0,0
mats-hummels,30,19,31500000.0,80.86,8,41,1,3,8,1,0
mats-hummels,27,16,34200000.0,80.86,7,42,3,3,6,0,0
mats-hummels,20,9,3600000.0,80.86,6,33,5,3,5,0,0
mats-hummels,19,8,225000.0,80.86,5,14,1,0,3,0,0
mats-hummels,18,7,135000.0,80.86,4,26,3,0,2,0,0
mats-hummels,17,6,45000.0,80.86,3,33,2,0,4,0,0
mats-hummels,16,5,45000.0,80.86,2,28,7,0,2,0,0
nico-schulz,26,19,22500000.0,80.86,7,18,1,0,2,0,0
nico-schulz,24,17,1800000.0,80.86,6,34,2,4,4,0,0
nico-schulz,22,15,3150000.0,80.86,5,4,0,1,0,0,0
nico-schulz,17,10,3150000.0,80.86,4,31,0,5,4,0,0
nico-schulz,16,9,3150000.0,80.86,3,30,9,6,7,0,0
nico-schulz,15,8,3150000.0,80.86,2,23,0,0,1,0,0
raphael-guerreiro,22,16,8100000.0,80.86,4,35,7,9,3,0,0
raphael-guerreiro,19,13,1350000.0,80.86,3,34,0,1,1,0,0
raphael-guerreiro,18,12,1350000.0,80.86,2,41,1,2,2,0,0
thomas-delaney,27,18,10800000.0,80.86,4,38,3,6,8,0,0
thomas-delaney,26,17,3150000.0,80.86,3,36,3,6,6,0,0
thomas-delaney,18,9,90000.0,80.86,2,12,1,0,1,0,0
thorgan-hazard,26,19,34200000.0,80.86,7,86,14,28,10,0,0
thorgan-hazard,22,15,9000000.0,80.86,6,72,12,12,8,0,0
thorgan-hazard,21,14,9000000.0,80.86,5,82,10,20,6,0,0
thorgan-hazard,19,12,450000.0,80.86,4,76,8,20,4,0,0
thorgan-hazard,18,11,450000.0,80.86,3,30,0,2,2,0,0
thorgan-hazard,17,10,450000.0,80.86,2,0,0,0,0,0,0
alassane-plea,25,18,16200000.0,80.86,4,35,15,4,2,0,0
alassane-plea,21,14,750000.0,80.86,3,35,3,9,7,0,0
alassane-plea,19,12,675000.0,80.86,2,3,0,0,0,0,0
alassane-plea,18,11,675000.0,80.86,1,0,0,0,0,0,0
breel-embolo,22,19,12600000.0,80.86,6,34,8,8,6,0,0
breel-embolo,19,16,18000000.0,80.86,5,10,3,2,0,0,0
breel-embolo,17,14,90000.0,80.86,4,42,17,13,6,0,0
breel-embolo,16,13,90000.0,80.86,3,34,8,0,6,1,0
breel-embolo,15,12,90000.0,80.86,2,0,0,0,0,0,0
christoph-kramer,25,16,10800000.0,80.86,8,38,0,5,10,1,0
christoph-kramer,24,15,10800000.0,80.86,7,44,0,3,5,0,0
christoph-kramer,22,13,1350000.0,80.86,6,34,3,1,9,0,0
christoph-kramer,20,11,67500.0,80.86,5,35,1,2,9,0,0
christoph-kramer,19,10,45000.0,80.86,4,26,0,1,4,0,1
christoph-kramer,17,8,45000.0,80.86,3,25,3,0,6,0,0
denis-zakaria,20,17,3600000.0,80.86,3,66,4,6,24,0,0
denis-zakaria,18,15,90000.0,80.86,2,66,2,4,8,2,0
denis-zakaria,17,14,90000.0,80.86,1,38,6,0,6,0,0
fabian-johnson,26,14,3600000.0,80.86,8,34,1,8,0,0,0
fabian-johnson,23,11,1130000.0,80.86,7,33,3,8,0,0,0
fabian-johnson,21,9,900000.0,80.86,6,11,1,0,1,0,0
fabian-johnson,18,6,90000.0,80.86,5,33,0,3,2,0,0
fabian-johnson,17,5,90000.0,80.86,4,29,0,0,0,0,0
fabian-johnson,16,4,90000.0,80.86,3,27,1,0,2,0,0
florian-neuhaus,21,18,2700000.0,80.86,6,34,4,10,5,0,0
florian-neuhaus,20,17,225000.0,80.86,5,29,6,3,6,0,0
florian-neuhaus,19,16,225000.0,80.86,4,21,2,1,7,0,0
florian-neuhaus,17,14,225000.0,80.86,3,9,0,0,1,0,0
florian-neuhaus,15,12,225000.0,80.86,2,2,0,0,0,0,0
ibrahima-traore,26,14,3600000.0,80.86,4,35,5,4,3,0,0
ibrahima-traore,23,11,1800000.0,80.86,3,14,2,1,0,0,0
ibrahima-traore,21,9,113000.0,80.86,2,37,7,13,3,0,1
