name,age,season,mv,potential,transfer_no
sergio-cordova,18,15,281500,80.86,2
sergio-cordova,17,14,113000,80.86,1
simon-asta,17,18,225000,80.86,2
simon-asta,15,16,225000,80.86,1
stephan-lichtsteiner,35,19,1260000,80.86,7
stephan-lichtsteiner,34,18,1350000,80.86,6
stephan-lichtsteiner,27,11,1350000,80.86,5
stephan-lichtsteiner,24,8,8100000,80.86,4
stephan-lichtsteiner,21,5,4500000,80.86,3
stephan-lichtsteiner,17,1,1260000,80.86,2
stephan-lichtsteiner,16,0,1260000,80.86,1
tin-jedvaj,23,19,6300000,80.86,6
tin-jedvaj,19,15,6750000,80.86,5
tin-jedvaj,18,14,5850000,80.86,4
tin-jedvaj,17,13,3600000,80.86,3
tin-jedvaj,16,12,675000,80.86,2
tin-jedvaj,14,10,675000,80.86,1
tomas-koubek,25,17,5400000,80.86,4
tomas-koubek,24,16,1350000,80.86,3
tomas-koubek,23,15,900000,80.86,2
tomas-koubek,18,10,360000,80.86,1
abdul-fesenmeyer,16,18,360000,80.86,2
abdul-fesenmeyer,14,16,360000,80.86,1
achunike-ekene,15,17,360000,80.86,1
adrian-stanilewicz,19,19,180000,80.86,3
adrian-stanilewicz,17,17,45000,80.86,2
adrian-stanilewicz,15,15,45000,80.86,1
aleksandar-dragovic,26,17,9000000,80.86,7
aleksandar-dragovic,25,16,10800000,80.86,6
aleksandar-dragovic,22,13,13500000,80.86,5
aleksandar-dragovic,20,11,6300000,80.86,4
aleksandar-dragovic,17,8,2700000,80.86,3
aleksandar-dragovic,15,6,45000,80.86,2
aleksandar-dragovic,14,5,45000,80.86,1
ayman-azhil,19,20,45000,80.86,3
ayman-azhil,17,18,45000,80.86,2
ayman-azhil,15,16,45000,80.86,1
ayoub-asrihi,18,19,45000,80.86,5
ayoub-asrihi,17,18,45000,80.86,4
ayoub-asrihi,16,17,45000,80.86,3
ayoub-asrihi,15,16,45000,80.86,2
ayoub-asrihi,8,9,45000,80.86,1
charles-aranguiz,25,14,8550000,80.86,7
charles-aranguiz,22,11,2340000,80.86,6
charles-aranguiz,21,10,630000,80.86,5
charles-aranguiz,20,9,810000,80.86,4
charles-aranguiz,19,7,810000,80.86,3
charles-aranguiz,18,7,810000,80.86,2
charles-aranguiz,17,6,810000,80.86,1
christopher-scott,19,13,810000,80.86,3
christopher-scott,18,12,810000,80.86,2
christopher-scott,17,11,810000,80.86,1
daley-sinkgraven,20,15,2700000,80.86,5
daley-sinkgraven,18,13,1350000,80.86,4
daley-sinkgraven,17,12,1350000,80.86,3
daley-sinkgraven,15,10,1350000,80.86,2
daley-sinkgraven,11,6,1350000,80.86,1
edmond-tapsoba,20,19,4050000,80.86,3
edmond-tapsoba,19,18,315000,80.86,2
edmond-tapsoba,18,17,315000,80.86,1
exequiel-palacios,19,17,22500000,80.86,2
exequiel-palacios,17,15,270000,80.86,1
fabian-ruth,17,18,22500000,80.86,3
fabian-ruth,16,17,22500000,80.86,2
fabian-ruth,14,15,22500000,80.86,1
florian-wirtz,15,18,22500000,80.86,2
florian-wirtz,7,10,22500000,80.86,1
jonathan-tah,18,14,4500000,80.86,5
jonathan-tah,17,13,5850000,80.86,4
jonathan-tah,16,12,5850000,80.86,3
jonathan-tah,15,11,5850000,80.86,2
jonathan-tah,13,9,5850000,80.86,1
julian-baumgartlinger,23,11,5400000,80.86,6
julian-baumgartlinger,21,9,2030000,80.86,5
julian-baumgartlinger,19,7,315000,80.86,4
julian-baumgartlinger,17,5,315000,80.86,3
julian-baumgartlinger,15,3,315000,80.86,2
julian-baumgartlinger,13,1,315000,80.86,1
kai-havertz,17,16,72900000,80.86,4
kai-havertz,15,14,90000,80.86,3
kai-havertz,11,10,90000,80.86,2
kai-havertz,10,9,90000,80.86,1
karim-bellarabi,23,13,2250000,80.86,9
karim-bellarabi,21,11,2250000,80.86,8
karim-bellarabi,20,10,900000,80.86,7
karim-bellarabi,19,9,45000,80.86,6
karim-bellarabi,18,8,45000,80.86,5
karim-bellarabi,17,7,45000,80.86,4
karim-bellarabi,15,5,45000,80.86,3
karim-bellarabi,14,4,45000,80.86,2
karim-bellarabi,8,98,45000,80.86,1
kerem-demirbay,23,16,28800000,80.86,9
kerem-demirbay,22,15,1170000,80.86,8
kerem-demirbay,21,14,1035000,80.86,7
kerem-demirbay,20,13,315000,80.86,6
kerem-demirbay,19,12,315000,80.86,5
kerem-demirbay,18,11,315000,80.86,4
kerem-demirbay,17,10,315000,80.86,3
kerem-demirbay,15,8,315000,80.86,2
kerem-demirbay,14,7,315000,80.86,1
kevin-bukusu,17,18,315000,80.86,2
kevin-bukusu,15,16,315000,80.86,1
kevin-volland,24,16,25200000,80.86,8
kevin-volland,20,12,15300000,80.86,7
kevin-volland,19,11,3150000,80.86,6
kevin-volland,18,10,315000,80.86,5
kevin-volland,17,9,315000,80.86,4
kevin-volland,15,7,315000,80.86,3
kevin-volland,14,6,315000,80.86,2
kevin-volland,13,5,315000,80.86,1
lars-bender,17,6,1530000,80.86,4
lars-bender,15,4,45000,80.86,3
lars-bender,13,2,45000,80.86,2
lars-bender,10,99,45000,80.86,1
leon-bailey,18,15,11250000,80.86,3
leon-bailey,16,13,11250000,80.86,2
leon-bailey,14,11,11250000,80.86,1
lucas-alario,23,15,10800000,80.86,2
lucas-alario,19,11,45000,80.86,1
lukas-hradecky,25,15,9000000,80.86,5
lukas-hradecky,23,13,1130000,80.86,4
lukas-hradecky,19,9,720000,80.86,3
lukas-hradecky,19,8,45000,80.86,2
lukas-hradecky,18,8,45000,80.86,1
marc-lamti,17,18,180000,80.86,2
marc-lamti,15,16,180000,80.86,1
marcel-johnen,16,18,180000,80.86,2
marcel-johnen,15,17,180000,80.86,1
marcel-lotka,17,18,113000,80.86,5
marcel-lotka,16,17,113000,80.86,4
marcel-lotka,15,16,113000,80.86,3
marcel-lotka,14,15,113000,80.86,2
marcel-lotka,13,14,113000,80.86,1
marco-wolff,20,17,23000,80.86,1
mitchell-weiser,21,15,10800000,80.86,6
mitchell-weiser,19,13,1800000,80.86,5
mitchell-weiser,18,12,1125000,80.86,4
mitchell-weiser,17,11,900000,80.86,3
mitchell-weiser,15,9,900000,80.86,2
mitchell-weiser,11,5,900000,80.86,1
moussa-diaby,19,18,10800000,80.86,4
moussa-diaby,19,17,450000,80.86,3
moussa-diaby,17,16,450000,80.86,2
moussa-diaby,15,14,450000,80.86,1
nadiem-amiri,18,14,15300000,80.86,5
nadiem-amiri,17,13,15300000,80.86,4
nadiem-amiri,16,12,15300000,80.86,3
nadiem-amiri,15,11,15300000,80.86,2
nadiem-amiri,14,10,15300000,80.86,1
niklas-lomb,25,18,225000,80.86,6
niklas-lomb,23,16,225000,80.86,5
niklas-lomb,22,15,315000,80.86,4
niklas-lomb,19,12,165000,80.86,3
niklas-lomb,17,10,23000,80.86,2
niklas-lomb,15,8,23000,80.86,1
paulinho,30,18,34200000,80.86,25
paulinho,29,17,36000000,80.86,24
paulinho,27,15,13500000,80.86,23
paulinho,25,13,8100000,80.86,22
paulinho,25,18,10800000,77.85,21
paulinho,24,12,630000,80.86,20
paulinho,24,17,6750000,77.85,19
paulinho,22,10,630000,80.86,18
paulinho,22,15,360000,77.85,17
paulinho,22,14,240000,77.85,16
paulinho,22,19,270000,77.85,15
paulinho,21,9,585000,80.86,14
paulinho,21,14,158000,77.85,13
paulinho,21,18,270000,77.85,12
paulinho,20,8,585000,80.86,11
paulinho,20,13,158000,77.85,10
paulinho,20,17,285000,77.85,9
paulinho,19,7,270000,80.86,8
paulinho,19,12,270000,77.85,7
paulinho,18,6,270000,80.86,6
paulinho,18,18,270000,77.85,5
paulinho,18,11,22500000,77.85,4
paulinho,17,17,270000,77.85,3
paulinho,23,16,270000,77.85,2
paulinho,23,15,225000,77.85,1
phil-kemper,15,17,270000,80.86,1
ramazan-ozcan,32,16,315000,80.86,9
ramazan-ozcan,27,11,1130000,80.86,8
ramazan-ozcan,26,10,225000,80.86,7
ramazan-ozcan,24,8,405000,80.86,6
ramazan-ozcan,22,6,843333.3333,80.86,5
ramazan-ozcan,19,3,315000,80.86,4
ramazan-ozcan,18,2,315000,80.86,3
ramazan-ozcan,16,0,315000,80.86,2
ramazan-ozcan,14,98,315000,80.86,1
sven-bender,20,9,6300000,80.86,5
sven-bender,17,6,1080000,80.86,4
sven-bender,15,4,45000,80.86,3
sven-bender,13,2,45000,80.86,2
sven-bender,10,99,45000,80.86,1
wendell,20,13,2700000,80.86,2
wendell,19,12,2700000,80.86,1
achraf-hakimi,19,18,48600000,80.86,4
achraf-hakimi,18,17,4500000,80.86,3
achraf-hakimi,17,16,270000,80.86,2
achraf-hakimi,16,15,270000,80.86,1
axel-witsel,28,17,18000000,80.86,6
axel-witsel,23,12,18000000,80.86,5
axel-witsel,22,11,18000000,80.86,4
axel-witsel,17,6,9000000,80.86,3
axel-witsel,16,5,9000000,80.86,2
axel-witsel,15,4,9000000,80.86,1
emre-can,24,18,23400000,80.86,8
emre-can,20,14,27000000,80.86,7
emre-can,19,13,6750000,80.86,6
emre-can,18,12,1350000,80.86,5
emre-can,17,11,540000,80.86,4
emre-can,16,10,540000,80.86,3
emre-can,15,9,540000,80.86,2
emre-can,12,6,540000,80.86,1
erling-haaland,19,19,40500000,80.86,3
erling-haaland,17,17,4500000,80.86,2
erling-haaland,15,15,180000,80.86,1
giovanni-reyna,16,19,4500000,80.86,1
jadon-sancho,16,16,4500000,80.86,2
jadon-sancho,15,15,4500000,80.86,1
julian-brandt,18,14,45000000,80.86,4
julian-brandt,16,12,45000000,80.86,3
julian-brandt,15,11,45000000,80.86,2
julian-brandt,13,9,45000000,80.86,1
leonardo-balerdi,21,20,6750000,80.86,4
leonardo-balerdi,20,19,6480000,80.86,3
