,name,age,date,mv
183,raphael-framberger,15,10,90000
184,raphael-framberger,9,4,90000
185,reece-oxford,20,19,3600000
186,reece-oxford,20,19,3600000
187,reece-oxford,20,19,6300000
188,reece-oxford,19,18,4500000
189,reece-oxford,19,18,4500000
190,reece-oxford,19,17,4500000
191,reece-oxford,18,17,4500000
192,reece-oxford,18,17,3600000
193,reece-oxford,18,17,3600000
194,reece-oxford,16,15,3600000
195,reece-oxford,15,14,3600000
196,reece-oxford,12,11,3600000
197,ruben-vargas,21,19,3600000
198,ruben-vargas,19,17,3600000
199,ruben-vargas,18,16,3600000
200,ruben-vargas,17,15,3600000
201,sergio-cordova,24,21,1440000
202,sergio-cordova,23,20,1440000
203,sergio-cordova,20,17,450000
204,sergio-cordova,20,17,113000
205,sergio-cordova,18,15,113000
206,sergio-cordova,17,14,113000
207,simon-asta,19,20,225000
208,simon-asta,17,18,225000
209,simon-asta,15,16,225000
210,stephan-lichtsteiner,36,20,1260000
211,stephan-lichtsteiner,35,19,1350000
212,stephan-lichtsteiner,34,18,1350000
213,stephan-lichtsteiner,27,11,8100000
214,stephan-lichtsteiner,24,8,4500000
215,stephan-lichtsteiner,21,5,1260000
216,stephan-lichtsteiner,17,1,1260000
217,stephan-lichtsteiner,16,0,1260000
218,tin-jedvaj,24,20,6300000
219,tin-jedvaj,23,19,6750000
220,tin-jedvaj,19,15,5850000
221,tin-jedvaj,19,15,5850000
222,tin-jedvaj,18,14,3600000
223,tin-jedvaj,17,13,675000
224,tin-jedvaj,17,13,675000
225,tin-jedvaj,16,12,675000
226,tin-jedvaj,14,10,675000
227,tomas-koubek,27,19,5400000
228,tomas-koubek,25,17,1350000
229,tomas-koubek,24,16,900000
230,tomas-koubek,23,15,360000
231,tomas-koubek,23,15,360000
232,tomas-koubek,18,10,360000
233,abdul-fesenmeyer,18,20,360000
234,abdul-fesenmeyer,16,18,360000
235,abdul-fesenmeyer,14,16,360000
236,abdul-fesenmeyer,14,16,360000
237,achunike-ekene,17,19,360000
238,achunike-ekene,15,17,360000
239,adrian-stanilewicz,20,20,180000
240,adrian-stanilewicz,19,19,45000
241,adrian-stanilewicz,17,17,45000
242,adrian-stanilewicz,15,15,45000
243,aleksandar-dragovic,27,18,9000000
244,aleksandar-dragovic,26,17,10800000
245,aleksandar-dragovic,25,16,13500000
246,aleksandar-dragovic,22,13,6300000
247,aleksandar-dragovic,20,11,2700000
248,aleksandar-dragovic,17,8,45000
249,aleksandar-dragovic,17,8,45000
250,aleksandar-dragovic,15,6,45000
251,aleksandar-dragovic,14,5,45000
252,ayman-azhil,20,21,45000
253,ayman-azhil,19,20,45000
254,ayman-azhil,19,20,45000
255,ayman-azhil,17,18,45000
256,ayman-azhil,15,16,45000
257,ayoub-asrihi,19,20,45000
258,ayoub-asrihi,18,19,45000
259,ayoub-asrihi,17,18,45000
260,ayoub-asrihi,16,17,45000
261,ayoub-asrihi,15,16,45000
262,ayoub-asrihi,8,9,45000
263,cem-turkmen,26,2,45000
264,charles-aranguiz,26,15,8550000
265,charles-aranguiz,25,14,2700000
266,charles-aranguiz,25,14,2700000
267,charles-aranguiz,25,14,1980000
268,charles-aranguiz,25,14,1980000
269,charles-aranguiz,22,11,630000
270,charles-aranguiz,21,10,810000
271,charles-aranguiz,20,9,810000
272,charles-aranguiz,19,7,810000
273,charles-aranguiz,18,7,810000
274,charles-aranguiz,17,6,810000
275,christopher-scott,22,16,810000
276,christopher-scott,19,13,810000
277,christopher-scott,18,12,810000
278,christopher-scott,17,11,810000
279,daley-sinkgraven,24,19,2700000
280,daley-sinkgraven,20,15,1350000
281,daley-sinkgraven,18,13,1350000
282,daley-sinkgraven,17,12,1350000
283,daley-sinkgraven,15,10,1350000
284,daley-sinkgraven,11,6,1350000
285,edmond-tapsoba,21,20,4050000
286,edmond-tapsoba,20,19,315000
287,edmond-tapsoba,19,18,315000
288,edmond-tapsoba,18,17,315000
289,exequiel-palacios,22,20,22500000
290,exequiel-palacios,19,17,270000
291,exequiel-palacios,17,15,22500000
